keywords,labels,weight,distance,range,Notes?,,
acquire acquires acquired acquiring,capital-raise,-50,3,1,,cutting-costs,
company startup firm && raises raising raise raised,capital-raise,-100,25,4,,"cutting-costs
 
 closing-down",1
completes raise raises raising raised secures secured series investment series venture ventures vc investor investors acquire acquires acquired acquiring invest invests investing investment investments secure secures securing bid bids bidding && million millions million mln billion billions bln seed round equity capital financing assets,capital-raise,-100,15,3,,cutting-jobs,19
investit investe && dans di,capital-raise,-100,25,4,,"cutting-jobs
 
 workplace-negotiations",1
raises raised && million millions && led && by,capital-raise,-100,20,5,,cyber-attack,24
big major millions million billion && invest invests investing invested && in,"capital-raise 
 
 strategy-changes 
 
 financial-mergers-and-acquisitions",-100,25,5,,cyber-attack-loss-of-availability,3
chapter ch chapters && eleven seven nine twelve fifteen 7 9 11 12 13 15 thirteen,chapters,-200,25,3,,cyber-attack-loss-of-confidentiality,12
rumor rumour rumors rumours rumored rumoured talk said near nigh word gossip indications might could possible possibly possibility indications indication likely probably probability speculate speculation speculations speculating supposedly risk risks risking despite prepare prepares preparing expect expects expecting expected expectation expectations consider considers considering weigh weighs weighing table tap taps tapping tapped seek seeks seeking examine examines examining examined look looks looking looked && chapter ch && eleven 7 11 13,chapters,-300,35,8,,"cyber-attack-loss-of-confidentiality
 
 unintentional-data-breach",1
rumor rumour rumors rumours rumored rumoured talk said near nigh word gossip indications might could possible possibly possibility indications indication likely probably probability speculate speculation speculations speculating supposedly risk risks risking despite prepare prepares preparing expect expects expecting expected expectation expectations threat threats threatening threatened consider considers considering weigh weighs weighing table tap taps tapping tapped seek seeks seeking examine examines examining examined look looks looking looked && eleven seven 7 11 13 && chapter ch,chapters,-200,4,6,,"cyber-attack-loss-of-confidentiality 
 
 unintentional-data-breach",1
claim claims penal && civil criminal damages million mln billion bln infringement infringe infringes filed files file launch launches launched announces announced raises raising,civil-lawsuits,-130,25,6,,cyber-terrorism,2
class && action,civil-lawsuits,-130,25,1,,cyber-vulnerability,17
counter counters countering countered && claim claims,civil-lawsuits,-130,7,1,,"cyber-vulnerability
 
 operational-risk-general",1
counterclaims && suit,civil-lawsuits,-130,20,3,,"cyber-vulnerability 
 
 cyber-attack-loss-of-confidentiality",2
investor investors bondholder bondholders supplier suppliers customer customers client clients holidaymakers villagers inhabitants competitor competitors fund funds bank insurer insurers pension state authority authorities us commission association ltd llc sa corp corporation inc incorporated european sec afm acm businessman businessmen businesswoman businesswomen lawyer lawyers legal counsel representative representatives attache ambassador minister ftc cftc finra doj cnmv cysec && sue sued sues suing suing,civil-lawsuits,-130,25,15,,data-protection,34
reach reached reaches reaching offered offers offer lawsuit lawsuits case judge court trail trails announce announces announcing announced today will to && settlement,civil-lawsuits,-130,25,6,,liability-problems,38
sec finra doj cnmv justica bafin brings && charges condemn condemns condemning condemned,civil-lawsuits,-120,25,8,,digital-environment,6
sets set setting && aside && for && claims damages,civil-lawsuits,-130,25,6,,due-diligence,6
sue && for && damage damages compensation compensations bad liability incurred losses harm negligence consequences wrongful punitive breach negligent malpractice improper violations neglect misconduct violation unfair indemnity wrongdoing willful infringement misuse misrepresentation,civil-lawsuits,-130,25,6,,general-issues,1073
sues sued,civil-lawsuits,-130,25,6,,electoral-failure,10
threatens threatened threaten && sue sued sues suing suit,civil-lawsuits,-130,25,8,,employee-mistreatment,5
threatens threatened threaten threatening && sue,civil-lawsuits,-130,25,6,,environmental-impact-carbon-footprint-negative,2
lawsuit,civil-lawsuits,-50,5,2,,environmental-impact-climate-change,
administrative authorities authority government legislative ministries ministry politics state regime && protests protesters protesting demonstrations,civil-unrest,-110,25,6,,environmental-impact-disaster,16
anti && government,civil-unrest,-30,25,2,,environmental-impact-pollution,14
antigovernment,civil-unrest,-30,25,6,,environmental-impact-resource-depletion,11
autocracy autocracies democracy democracies constitution antigovernment senate federalism parliament coalition coalitions && boycott riot riots rioting rellen protests protesters protesting demonstrations,civil-unrest,-110,25,6,,environmental-impact-sustainability,11
civil && unrest disorder turmoil disturbance disobedience,civil-unrest,-120,25,6,,expansion-strategic,19
insurgency insurgents anarchism anarchists,civil-unrest,-100,25,6,,expansion-mergers-and-acquisitions,19
minister ministers officer official && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,civil-unrest,-75,25,5,,filing-bankruptcy,11
political governmental && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,civil-unrest,-110,25,6,,financial-issues-general,115
protest protests protesters protesting protestos,civil-unrest,-100,20,2,,credit-default-swaps,2
protests protestors protestor protesting protesters protester protested protest,civil-unrest,-100,20,2,,financial-losses,25
public && institution institutions && riot riots rioting rellen putsch impeach impeached protest protests protesters protesting demonstrations,civil-unrest,-110,25,6,,financial-mergers-and-acquisitions,17
rebellion secessionists secessionist,civil-unrest,-80,15,6,,financial-offenses-bribery,8
riot riots rioting protests protesters protesting,civil-unrest,-100,25,6,,financial-offenses-fraud,21
announce announces announcing announced abrupt abruptly sudden imminent && closure && facility facilities plant plants factory factories mine mines sites site sites production branches offices business mortgage equity trading institution locations,closing-down,-140,30,5,,financial-offenses-fraud financial-offenses-general internal-wrongdoing,1
brand brands label labels && disappear disappears disappearing,closing-down,-140,20,4,,financial-offenses-general,21
dissolved dissolution dissolve,closing-down,-100,10,3,,financial-offenses-market-manipulation,
close closes closed closing && down,closing-down,-100,9,3,,financial-offenses-money-laundering,9
closed && immediately after,closing-down,-130,12,2,,financial-offenses-tax-evasion,28
continues && exit && activity,closing-down,-100,15,5,,fines,25
ended ending discontinues discontinuing halts halting ceases ceasing ceased cessation quitting quiting stops stopping abruptly withdraws withdrawing shutting shuttering suspend suspended suspends suspending suspension curtails curtailing && active activities activity operations trading trade business,closing-down,-200,25,2,,forced-changes,18
exit exits exiting exited leave leaves leaving left flee flees fleeing escape escapes escaping && market business industry marketplace sector consumer commodity manufacturing retail global platform,closing-down,-140,25,5,,"forced-changes
 
 reorganization",1
foreclose foreclosed forecloses foreclosing foreclosure foreclosures,closing-down,-100,15,2,,reorganization,17
leave leaves leaving && promenade highstreet galleries,closing-down,-140,25,5,,free-will-changes,46
leave leaves leaving && shopping && centre center,closing-down,-140,25,5,,general-law-terms,44
longtime && shuts shut shutting shutter shutters shuttering close closes closing && down up,closing-down,-200,25,6,,general-mergers-and-acquisitions,57
market && exit,closing-down,-300,9,4,,geological-disasters,7
big && exist exists,closing-down,-50,9,1,,geopolitical-tension,
mass && shutterings shuttering,closing-down,-200,15,3,,going-into-administration,16
ondergang demise downfall collapse meltdown implode implodes imploding implosion crisis doom doomsday apocalypse apocalyptic oblivion grim abyss harbinger nightmare nightmarish chaos catastrophe && warn warns warning warnings warned alerts alerting alerted heeds notify notifies notifying email emails && likely probable probably probability possible possibility possibly might could maybe potentially potential face facing faces,closing-down,-300,25,4,,hacking,4
operation && status && struck && off,closing-down,-150,10,5,,"hacking
cyber-attack-loss-of-confidentiality",1
out && of && business,closing-down,-190,25,3,,"hacking
 sanctions-general",1
shuts shut shutting && up down && shop store webshop,closing-down,-200,25,6,,health-and-safety,18
shuts shut shutting close closes closing && operation operations,closing-down,-200,25,6,,human-accidents-accidents,19
struck striking && off && register,closing-down,-200,15,8,,human-accidents-deaths,17
the && end && of,closing-down,-250,-1,6,,"human-accidents-deaths 
 
 human-accidents-mental-conditions",1
wind winds winding && down && active activities activity operations trading trade business,closing-down,-200,25,8,,human-accidents-diseases,9
shut shuts shutting shutter shutters shuttering close closing closings closes closure closures axe axes axing axed ditch ditches ditching slash slashes slashing chop chops chopping chopped slashed trim trims trimming trimmed cutback cutbacks slices slicing sliced drop drops dropping dropped && facilities plant plants factory factories mine mines sites site sites production branches offices stores locations shop shops promenade highstreet downtown arm outlets online offline physical commerce ecommerce mortar flagship flagships supplier suppliers distributor distributors vendor vendors nationwide pct percent nearly additional,"closing-down
 
 cutting-costs",-250,15,2,,"human-accidents-diseases
 
 health-and-safety",1
shut shuts shutting shutter shutters shuttering close closing closings closes closure closures axe axes axing axed ditch ditches ditching slash slashes slashing chop chops chopping chopped slashed trim trims trimming trimmed cutback cutbacks slices slicing sliced drop drops dropping dropped && business,"closing-down
 
 cutting-costs",-250,15,1,,human-accidents-mental-conditions,
bank && falls,closing-down,-70,25,4,,human-error,2
must && stop,closing-down,-80,8,2,,human-rights-violations-economic,7
in with face faces facing && showdown,closing-down,-100,30,2,,human-rights-violations-general,3
halt halts halting halted cease ceases ceasing ceased stop stops stopping stopped && trading,closing-down,-150,30,4,,human-rights-violations-health,2
big huge mounting large considerable && cuts,closing-down,-130,13,4,,human-rights-violations-lgbtq,5
shut shuts shutting take takes taken && down && entirely completely,closing-down,-150,25,5,,human-rights-violations-political,11
closes closing && facility plant factory factories,closing-down,-70,25,6,,human-rights-violations-religion,12
abusive abusive misuse && marktmacht,competitive-risk,-100,15,4,,human-rights-violations-social,27
abusive abusive misuse && market && power,competitive-risk,-100,15,5,,"human-rights-violations-social
 
 sexual-violence",1
business && competitors,competitive-risk,-20,10,2,,internal-wrongdoing,153
business sales && war wars,competitive-risk,-150,25,12,,"human-rights-violations-social 
 
 employee-mistreatment",1
competition && between && companies,competitive-risk,-50,10,5,,hydrological-disasters,8
competitive && disadvantage disadvantages,competitive-risk,-50,10,2,,imprisonment,7
competitive && risk risks,competitive-risk,-100,10,2,,"imprisonment
 
 general-law-terms",1
mispricings mispricing misprice,competitive-risk,-110,10,2,,intentional-data-breach,16
mudslinging,competitive-risk,-90,20,1,,"intentional-data-breach
 
 cyber-attack-loss-of-confidentiality",2
negative && campaigning,competitive-risk,-110,25,4,,"intentional-data-breach
 
 financial-offenses-fraud",1
price && war wars,competitive-risk,-150,25,5,,internal-fraud,5
prijsoorlog,competitive-risk,-130,25,6,,"internal-wrongdoing
 
 anti-corruption",1
stiff && competition,competitive-risk,-140,25,6,,"internal-wrongdoing
financial-offenses-fraud",1
threats && to && competitive && advantage advantages,competitive-risk,-20,25,8,,"internal-wrongdoing
financial-offenses-fraud
anti-corruption",1
too && competitive challenging,competitive-risk,-140,20,3,,"internal-wrongdoing
forced-changes",1
anticompetitive,competitive-risk,-50,5,2,,"internal-wrongdoing
internal-fraud",1
lag lags lagging behind trailing trails && rival rivals competitor competitors,competitive-risk,-70,25,6,,"internal-wrongdoing
misconduct",1
outstrip outstrips outstripping outstripped && by && competitor competitors competition market markets peer peers,competitive-risk,-150,22,6,,"internal-wrongdoing
pr-problems",1
traditional && players && risk risks,competitive-risk,-70,25,6,,"internal-wrongdoing 
pr-problems",1
disturbing && market markets,competitive-risk,-70,25,6,,international-affairs,17
competitive && pressure pressures,competitive-risk,-70,25,6,,"international-affairs
political-crime",1
losing && market && share,competitive-risk,-70,25,6,,"international-affairs
sanctions-economic",1
competing && company companies,competitive-risk,-70,25,6,,"international-affairs
trade-policy",2
stealing && customers,competitive-risk,-70,25,3,,inventory-risk,15
competitor competitors competing competition,competitive-risk,-60,25,6,,"inventory-risk
financial-issues-general",1
losing && customers && to && competitors,competitive-risk,-70,25,6,,killing,6
market && competition,competitive-risk,-70,25,6,,labour-problems,25
disrupting over && traditional,competitive-risk,-70,25,3,,lawsuit-enforcement,6
threat && traditional,competitive-risk,-70,25,3,,"lawsuit-enforcement
 
 liability-problems",2
barriers && to && entry entries,competitive-risk,-60,25,3,,liquidation,22
bait && and && switch,competitive-risk,-60,25,3,,liquidity-issues,12
bid && rigging,competitive-risk,-60,25,3,,macroeconomic-issues,30
collusive && tendering,competitive-risk,-60,25,3,,"macroeconomic-issues
sanctions-economic",1
dissolution dissipation,contract-disputes,-190,12,4,,"macroeconomic-issues
trade-barriers
trade-policy",2
end ends ending ended && contract relation relations relationship,contract-disputes,-190,25,4,,meteorological-disasters,16
call calls calling called out && off && order orders deal deals contract contracts merger mergers acquisition acquisitions business deal,contract-disputes,-130,30,12,,migrant-crisis,5
auditing audits audited,corporate-investigation,-60,10,2,,misconduct,8
call called calls && on && carpet,corporate-investigation,-1,25,2,,"misconduct
 
 pr-problems",1
call calls calling called dems democrats republicans hold holds holding house senate seek seeks seeking && hearing,corporate-investigation,-150,25,6,,natural-disasters-general,5
central ecb authority ftc cftc fcc finra doj cnmv justica bafin watchdog && hold holds holding held && account accountable,corporate-investigation,-130,25,12,,operational-risk-general,18
commission && investigation,corporate-investigation,-100,15,6,,"operational-risk-general
 
 competitive-risk",1
conducts conducting conducted && searches,corporate-investigation,-120,25,8,,"pandemics-covid-19 
 
 human-accidents-diseases",7
enquete investigation && role,corporate-investigation,-120,25,8,,physical-violence,7
face faces facing under block blocks blocking restricts restricting restrictions embargo moratorium && review investigation authorities watchdog lawmakers questions uncovered angry scrutiny sec fda sec fed finra doj cnmv justica bafin authority watchdog regulator regulators regulatory ombudsman judicial enquete federal governmental prosecutor prosecution,corporate-investigation,-120,25,8,,political-accountability,25
failed fails && screening screens,corporate-investigation,-130,25,8,,"political-accountability
environmental-impact-climate-change",1
gets && served && notice,corporate-investigation,-180,35,8,,"political-accountability
environmental-impact-disaster",1
government governmental commission authority authorities watchdog lawmakers lawmaker sec ftc cftc fca afm fda sfc finra doj cnmv justica bafin regulatory regulator regulators rbi senate senator senators security && demanding demand demands,corporate-investigation,-130,25,2,,"political-accountability 
environmental-impact-climate-change",1
imposes imposing imposed puts putting places placed placing initiates initiating initiated && corrective correctional disciplinary,corporate-investigation,-120,25,8,,"political-accountability 
political-violence",1
inquiry,corporate-investigation,-120,25,8,,political-conflict,33
inter && partes && review,corporate-investigation,-120,25,6,,political-crime,15
investigation investigations probing probe,corporate-investigation,-80,25,8,,"political-crime
anti-corruption",5
investigating investigate investigates investigated && over conduct irregular irregularities misconduct misuse violation violations inappropriate deficiencies deficient improper improperly neglect neglecting neglects neglected irregularities lackluster insufficient inadequate fail fails failing failed failure failures,corporate-investigation,-120,25,8,,"political-crime
 
 anti-corruption",2
investigated && legal jurisdiction legally corporate organization company management corporation business,corporate-investigation,-120,25,8,,regulatory-agency,
is && in && judicial,corporate-investigation,-120,25,8,,political-general,10
law government formal official officials ministry report reports federal senator senators us house ftc cftc fca fcc fda finra doj cnmv justica bafin sec commission committee authority authorities prosecutor prosecutors bafin cysec govt inspector inspectors governmental judicial commissioner council prosecution congressional commissioners legislative statutory && ask asks aking asked && explanation explain answer answers how into million mln millions billion billions,corporate-investigation,-160,25,12,,political-violence,36
law government formal official officials ministry report reports federal senator senators us house ftc cftc fca fcc fda finra doj cnmv justica bafin sec commission committee authority authorities prosecutor prosecutors bafin cysec govt inspector inspectors governmental judicial commissioner council prosecution congressional commissioners legislative statutory && raid raids raiding raided,corporate-investigation,-200,25,12,,"political-violence
 
 killing",1
law laws rule rules && violate violates violated violating,corporate-investigation,-120,25,8,,pr-problems,55
looked && into,corporate-investigation,-120,25,8,,"pr-problems
scandals",1
obliged forced required requested && disclose release && information informacao,corporate-investigation,-150,25,6,,product-failure-qa,25
opens opening opened && enquete,corporate-investigation,-120,25,8,,production-issues,15
order orders ordering ordered && action actions,corporate-investigation,-150,25,8,,public-law,6
placed places placing put puts putting && under,corporate-investigation,-120,25,8,,public-offering-issues,11
probes probe probed,corporate-investigation,-120,25,8,,rating-issues,19
prosecutor prosecutors da attorney bankers bank banks banking us judge judges ngo ngos complicit completely && accuse accuses accused accusee accusing accusations indicts indicting indicted,corporate-investigation,-120,25,8,,regulatory-change-general,6
raid raided,corporate-investigation,-70,25,12,,regulatory-compliance,11
raided && hq headquarters,corporate-investigation,-70,25,12,,regulatory-risk,10
scrutinize scrutinizing scrutinising scrutinise && behaviour behavior trading trade trades business,corporate-investigation,-110,25,6,,reject-bankruptcy,8
search arrest && warrants warrant,corporate-investigation,-150,25,12,,rescue-from-bankruptcy,14
seize seizes seized seizing seizure confiscate confiscates confiscating confiscated && assets actifs actives estate property properties resources weapons building buildings office offices account accounts files computer computers cash suspects,corporate-investigation,-150,25,12,,revenue-issues,23
served && with && notice,corporate-investigation,-180,35,8,,sanctions-economic,31
under && microscope scrutiny watch,corporate-investigation,-120,25,8,,"sanctions-economic 
 
 fines",1
scandal scandals scandalous && audit auditor auditors,corporate-investigation,-100,25,6,,"sanctions-economic 
 
 suspended-sentence",1
drop dropped dropping drops && auditor,corporate-investigation,-70,15,6,,sanctions-general,17
internal && audit,corporate-investigation,-40,25,6,,"sanctions-general
sentencing-general",4
fail fails failing failed flunk flunks flunking && test tests exam exams examination inspection inspections,corporate-investigation,-130,25,6,,sanctions-general sanctions-political fines,1
confiscated confiscate confiscates confiscating confiscation confiscations,"corporate-investigation 
 
 sanctions-general",-80,15,2,,sanctions-military,3
can && t not && deduct,cost-issues,-100,25,3,,sanctions-political,10
cost costs && soar soaring surge surges surging billow billows billowing suffocate suffocating suffocates mount mounting mounts mounted flare flares flaring escalate escalates escalating escalated blowout blowouts,cost-issues,-150,25,8,,scandals,3
costs && up upwards,cost-issues,-190,25,1,,"scandals
 
 arrests",1
could && cost && billions millions,cost-issues,-80,15,4,,sentencing-general,17
currency market margin margins cost costs price pricing union tariff tariffs && headwind headwinds pressure pressures pressuring war wars resistance problem problematic problems difficulty difficulties trouble troubles concerns exacerbated severe worsening worrying suffer suffers suffering plague plagues plaguing plagued struggle struggles struggling debilitating debilitates debilitate fear fears fearing,cost-issues,-150,25,12,,"sentencing-general
imprisonment",1
deposits deposit && outflow outflows dropped plummet plummets plummeting plummeted plunge plunges plunging plunged tumble tumbles tumbling tumbled falling fell declining nosedive nosedives nosediving nosedived tailspin slumps slumping sinking sliding collapsing slipping hurtling,cost-issues,-190,30,6,,service-disruption,10
expenses overhead && escalate escalates escalating escalated surging surge surges soar soars soaring spike spikes spiking spiked upsurge upsurges billow billows billowing heave heaves heaving spiralling spiral spirals spiraled spiraling double doubling treble trebling triple tripling quadruple quadrupling massive massively huge mount mounting high higher increase increases increasing hike hikes hiking more add adding adds added additional,cost-issues,-130,25,6,,sexual-violence,8
high increase increases increasing increased mount mounts mounting && depreciation,cost-issues,-130,25,6,,shareholder-activism,79
increase increases increasing increased growing grow grew billow billows billowing inflate inflates inflating inflated excessive exorbitant huge massive unacceptable unbearable unprecedented hike hikes hiking hiked rise rises rising rose raise raises raising raised offset offsets offsetting && cost costs expenses,cost-issues,-130,40,4,,strategic-general,14
negative && impact affect effect && deposit deposits,cost-issues,-150,25,6,,strategic-asset-allocation,37
arrest && warrants warrant,criminal-law,-130,25,12,,strategic-issues,36
arrested apprehended,criminal-law,-100,25,12,,strategy-changes,30
breach breaches breaching breached break breaks breaking broke ignore ignored ignoring flout flouts flouting && criminal justice act law laws rule rules,criminal-law,-190,25,5,,supplier-issues,6
charged && with in,criminal-law,-120,25,5,,suspended-sentence,3
chargesheet chargesheets affidavit affidavits remanded absconding arraignment arraignments refile pleadings estafa appellant evidentiary adjudication extradition habeas,criminal-law,-130,25,6,,takeover-defenses,18
comits comit comitted involved involves involve charging charged charges && crime crimes,criminal-law,-110,15,2,,takeover-offenses,19
conspiracy && commit,criminal-law,-130,25,8,,terrorism,17
contravene contravenes contravened contravening,criminal-law,-150,18,6,,trade-barriers,2
guilty condemnable delinquent delinquency criminal,criminal-law,-130,25,8,,"trade-barriers
 
 sanctions-economic",2
illegal illicit illegally illicitly,criminal-law,-180,25,8,,"trade-barriers
 
 trade-policy",7
indicts indicted indicting indictment arraigns arraigned arraigning accused accusation accusations prosecutor prosecuted prosecuting,criminal-law,-130,25,6,,trade-policy,26
outside ignore ignores ignoring circumvent circumvents circumventing circumvented disregard disregards disregarding bypassing bypasses bypassed sidestep sidesteps sidestepping subvert subverts subverting undermine undermines undermining nullifying evade evades evading && legal judicial civil legislative judiciary,criminal-law,-150,25,4,,"trade-policy
 
 sanctions-economic",2
parketwoordvoerster parketwoordvoerder,criminal-law,-100,40,4,,"trade-policy
 
 sanctions-military",1
red && handed,criminal-law,-130,25,8,,unintentional-data-breach,14
redhanded unlawful,criminal-law,-130,25,8,,"unintentional-data-breach
 
 cyber-attack-loss-of-confidentiality",1
settle settles settling && antitrust fraud failure failures witwaszaak witwasaffaire,criminal-law,-100,25,4,,wave-of-worsening,44
sue && for && criminal,criminal-law,-130,25,6,,wildfires,4
unsafe unsound dodgy shady questionable && practices conduct trading loans loan,criminal-law,-130,25,6,,worker-protests,6
criminals criminally criminal crimes crime,criminal-law,-50,5,2,,workplace-negotiations,3
drug && ring cartel cartels lord lords kingpin kingpins money problem problems traffick trafficking trafficker traffickers,criminal-law,-120,25,6,,"workplace-negotiations
 
 worker-protests",1
axe axed axes axing cut cuts cutting cull culling culls culled slash slashes slashing smash smashes smashing smashed reduces reduced reducing reduce redundant peril threat threats threatens trims trimming trim sack sacks sacking sack jeopardy eliminate eliminates eliminating abolition abolitions fire fires firing fired chop chops chopping drop drops dropping && portfolio products,cutting-costs,-140,25,4,,shareholder-dissatisfaction,19
axe axes axing cut cuts cutting cull culling culls culled slash slashes slashing reduces reducing reduce redundant peril threat threats threatens trims trimming trim jeopardy eliminate eliminates eliminating abolition abolitions smash smashes smashing curtail curtails curtailing && brand brands label labels supplier suppliers distributor distributors,cutting-costs,-140,30,8,,ip-problems,42
brand brands label labels && off && the && market,cutting-costs,-140,30,8,,brexit,42
clipping clips && billion billions bln,cutting-costs,-300,25,5,,financial-offenses-tax-avoidance,11
close closes closing && facility facilities plant plants factory factories mine mines sites site production,cutting-costs,-100,30,6,,delisting,5
close closes closing closings closure closures && facilities plant plants factory factories mine mines sites site sites production branch branches offices,cutting-costs,-140,25,3,,,
close closes closing closings closure closures && facility,cutting-costs,-70,25,3,,,
cut cuts cutting && back backs,cutting-costs,-100,25,3,,,
cut cuts cutting slash slashes slashing reduces reducing reduce reduction && cost costs costing perks options,cutting-costs,-100,25,3,,,
faces && important cuts,cutting-costs,-70,25,3,,,
get gets getting take takes taking took adopt adopts adopting adopted && out && of off && business market,cutting-costs,-140,30,8,,,
in && doubt doubtful && facilities plant plants factory factories mine mines sites site sites production branches offices business stores locations shop shops promenade highstreet downtown online offline physical commerce ecommerce mortar flagship flagships supplier suppliers distributor distributors nationwide pct percent nearly additional,cutting-costs,-140,25,6,,,
pay && reduction,cutting-costs,-190,15,4,,,
savings && plan,cutting-costs,-100,30,1,,,
suspend suspends suspending suspended cease ceases ceasing desist desists remit remits remitting remittance withhold withholds withholding revoke revokes revoking revoked rescind rescinds rescinding rescinded && remuneration wage wages salary paying pay payment payments accounts asset assets assets operation operations activity activities notice immediate funds actifs actives estate properties account accounts inventory capital equity compensation financing investment investments,cutting-costs,-200,30,6,,,
all last remaining && facilities plant plants factory factories mine mines sites site sites production branches offices business stores locations shop shops promenade highstreet arms outlets downtown online offline physical commerce ecommerce mortar flagship flagships supplier suppliers distributor distributors vendor vendors nationwide pct percent nearly additionatal additionally && shuts shutting shutter shutters shuttering close closing closings closes closure closures,"cutting-costs
 
 closing-down",-250,25,8,,,
announce announces announcing announced abrupt abruptly sudden shortly begun unexpected unexpectedly suddenly surprise && voluntary && departures,cutting-jobs,-100,30,8,,,
axe axed axes axing cut cuts cutting cull culling culls culled slash slashes slashing smash smashes smashing smashed reduces reduced reducing reduce redundant peril threat threats threatens trims trimming trim sack sacks sacking sack jeopardy eliminate eliminates eliminating abolition abolitions fire fires firing fired chop chops chopping drop drops dropping && job jobs workforce employees workers staff managers,cutting-jobs,-140,25,4,,,
consolidate consolidates consolidating eliminate eliminates elimination eliminating reduce reduces reducing streamline streamlines streamlining centralize centralizes centralizing centralise centralises centralising && job jobs workforce portfolio products employees workers staff managers personnel,cutting-jobs,-90,25,8,,,
cuts && hours && of && staff,cutting-jobs,-140,25,6,,,
decoupling && employees,cutting-jobs,-160,25,4,,,
hire hires hiring && disposition,cutting-jobs,-190,15,2,,,
jobs && on && line,cutting-jobs,-180,25,6,,,
jobs && to && go,cutting-jobs,-140,12,8,,,
lay && offs,cutting-jobs,-70,25,6,,,
lay laid laying layed && off,cutting-jobs,-70,25,6,,,
lay lays laying && off offs,cutting-jobs,-140,25,6,,,
layoff layoffs,cutting-jobs,-140,25,6,,,
lays && off offs,cutting-jobs,-70,25,6,,,
let lets letting && go && staff workforce jobs managers positions personnel,cutting-jobs,-140,25,4,,,
pay job && cut cuts && necessary paramount crucial unavoidable survival save plan plans planning foresee foresees foreseeing imminent major,cutting-jobs,-190,25,6,,,
personalabbau,cutting-jobs,-140,30,8,,,
relieve relieves relieving relieved && duty duties staff managers,cutting-jobs,-100,25,6,,,
scale scales scaling && down && job jobs workforce portfolio products employees workers staff staffing personnel salaries wages,cutting-jobs,-140,25,8,,,
workers && make && unemployment,cutting-jobs,-70,25,5,,,
attrition,"cutting-jobs
 
 workplace-negotiations",-50,10,2,,,
accounts app apps site website service services && infected tainted attacked ddos ddosed hijack hijacks hijacking hijacked leak leaks leaking leaked hacked hackers,cyber-attack,-140,25,5,,,
attackers && abuse abused,cyber-attack,-100,20,3,,,
bitcoin bitcoins crypto cryptocurrency digital && scam scams,cyber-attack,-80,20,7,,,
bitcoin bitcoins crypto cryptocurrency digital && wallet && stolen stole stealing steal theft,cyber-attack,-80,20,7,,,
bootkit rootkit,cyber-attack,-50,20,7,,,
botnet && security securities,cyber-attack,-50,20,7,,,
botnet botnets,cyber-attack,-30,20,7,,,
computer cyber digital && attack attacks threats && victim victims,cyber-attack,-120,15,7,,,
cyberattack cyberattacks,cyber-attack,-140,25,7,,,
